SIZE KRANDOM OPT2 NEIGH ENCHNEIGH
10 25 27 24 19 
20 143 100 87 54 
30 305 211 90 73 
40 641 318 144 70 
50 974 581 140 116 
60 1488 987 224 143 
70 1889 1121 308 153 
80 2700 1539 324 229 
90 3344 1992 393 275 
100 4180 2084 397 223 
110 5278 2794 337 288 
120 5975 3286 563 328 
130 6874 3909 459 374 
140 8440 4632 643 422 
150 9550 5034 722 457 
160 11495 5666 1002 502 
170 12982 6500 721 496 
180 14349 8159 809 555 
190 15905 9052 905 654 
200 17874 9626 944 538 
210 19241 9320 977 697 
220 21774 12103 1097 695 
230 24039 12772 1385 855 
240 25017 12626 1132 822 
250 28306 14330 1071 907 
