SIZE KRANDOM OPT2 NEIGH ENCHNEIGH
10 24 13 19 13 
20 146 47 58 47 
30 309 94 104 104 
40 599 89 116 93 
50 921 133 224 143 
60 1516 174 254 184 
70 2077 175 261 150 
80 2707 252 390 255 
90 3342 270 322 257 
100 4294 330 441 282 
110 5116 355 473 322 
120 6176 395 518 413 
130 7479 479 527 488 
140 8307 478 522 439 
150 10162 578 549 520 
160 11238 673 885 550 
170 12532 620 561 399 
180 14650 856 949 692 
190 16144 685 877 624 
200 18337 841 1168 783 
210 19780 886 999 796 
220 21468 917 1111 800 
230 23902 972 980 720 
240 25470 1027 1441 924 
250 28114 1135 1177 938 
