SIZE KRANDOM OPT2 NEIGH ENCHNEIGH
10 64.70588 23.529411 11.764706 0.0 
20 294.2857 25.714285 28.571428 0.0 
30 532.6923 0.0 55.76923 36.53846 
40 526.9231 4.8076925 31.73077 0.0 
50 664.56696 5.5118113 24.409449 0.0 
60 817.7914 0.0 57.055214 5.5214725 
70 941.32654 0.0 39.795918 19.387754 
80 1161.9512 9.756098 20.0 0.0 
90 1387.826 0.0 29.565218 1.7391304 
100 1397.193 12.631579 4.9122806 0.0 
110 1107.3286 0.0 45.39007 8.747045 
120 1701.4706 11.764706 57.35294 0.0 
130 1908.3799 36.03352 78.77095 0.0 
140 1920.6235 3.8369305 49.64029 0.0 
150 1980.9524 26.086956 59.21325 0.0 
160 2007.8755 0.0 34.065933 1.2820513 
170 2589.2058 27.087576 78.81874 0.0 
180 2180.5642 14.890282 59.24765 0.0 
190 2211.8645 3.1073446 29.096045 0.0 
200 2748.504 21.574802 53.54331 0.0 
210 2533.1626 10.371319 21.895006 0.0 
220 3044.203 30.724638 65.797104 0.0 
230 2388.3948 11.279826 0.0 0.0 
240 2982.634 25.874126 46.386948 0.0 
250 2898.5264 28.842106 64.31579 0.0 
