SIZE KRANDOM OPT2 NEIGH ENCHNEIGH
10 81.818184 54.545456 81.818184 0.0 
20 273.33334 216.66667 80.0 0.0 
30 662.1622 400.0 89.189186 0.0 
40 816.9014 467.60562 61.971832 0.0 
50 730.2521 317.64706 57.142857 0.0 
60 949.2857 457.85715 37.857143 0.0 
70 1306.3829 739.0071 63.120567 0.0 
80 928.51404 512.8514 21.285141 0.0 
90 1269.0677 632.20337 88.98305 0.0 
100 1644.2688 871.14624 37.549408 0.0 
110 1649.488 826.27985 18.430035 0.0 
120 1528.1329 750.89514 36.828644 0.0 
130 2068.6782 1147.7012 64.94253 0.0 
140 1644.0643 875.2515 38.832996 0.0 
150 2130.543 897.5113 51.58371 0.0 
160 1989.1305 974.6377 26.449276 0.0 
170 1958.0386 939.54987 48.713825 0.0 
180 2300.4966 1104.4702 29.139072 0.0 
190 2782.4155 1477.9751 98.04618 0.0 
200 2184.7854 1095.7087 38.621586 0.0 
210 2767.894 1428.7188 60.382915 0.0 
220 2801.0854 1407.1913 40.434193 0.0 
230 2609.7788 1390.2212 36.554134 0.0 
240 2757.064 1247.9028 39.845474 0.0 
250 3461.1387 1621.5347 94.0594 0.0 
