SIZE KRANDOM OPT2 NEIGH ENCHNEIGH
10 153.84616 15.384615 53.846153 0.0 
20 175.0 0.0 45.454544 9.090909 
30 496.7213 27.868853 36.065575 0.0 
40 557.1429 0.0 79.12088 16.483517 
50 762.1622 4.5045047 67.567566 0.0 
60 914.0741 0.0 17.777779 10.37037 
70 1060.5555 28.88889 6.111111 0.0 
80 1024.6809 3.8297873 45.957447 0.0 
90 1104.9296 0.70422536 2.1126761 0.0 
100 1172.1068 14.836795 40.949554 0.0 
110 1551.9608 24.836601 80.39216 0.0 
120 1459.126 15.681234 22.10797 0.0 
130 1642.1569 0.0 12.990196 5.392157 
140 1677.8706 13.569938 40.709812 0.0 
150 1795.9032 6.703911 33.705772 0.0 
160 1930.394 2.4390244 36.772984 0.0 
170 2205.8716 6.788991 36.880733 0.0 
180 2287.5647 15.37133 43.00518 0.0 
190 2318.4524 14.583333 37.64881 0.0 
200 2105.5137 7.64411 30.952381 0.0 
210 2447.292 20.475561 20.739761 0.0 
220 2609.0452 22.86432 0.0 0.0 
230 2721.6494 3.8946164 36.655212 0.0 
240 3143.4568 18.271605 63.580246 0.0 
250 2959.0957 29.652996 46.267086 0.0 
