Bees BPT Expermient
berlin52 pr107 pr152 gr120 eil101 a280
OBJECTIVE1 BPT1 BPT1% OBJECTIVE2 BPT2 BPT2% OBJECTIVE3 BPT3 BPT3% OBJECTIVE4 BPT4 BPT4% OBJECTIVE5 BPT5 BPT5% OBJECTIVE6 BPT6 BPT6%
8570.333 1 0.01923077 63726.332 1 0.009345794 141127.33 1 0.0065789474 10156.667 1 0.008333334 823.6667 1 0.00990099 8825.333 1 0.0035714286 
8114.3335 2 0.03846154 56242.332 2 0.018691588 128647.0 2 0.013157895 8943.333 2 0.016666668 750.3333 2 0.01980198 7228.3335 2 0.007142857 
8298.333 3 0.057692308 52188.668 3 0.028037382 117962.664 3 0.019736841 8643.0 3 0.025 717.6667 3 0.02970297 7158.3335 3 0.010714286 
8160.3335 4 0.07692308 52831.332 4 0.037383176 104769.0 4 0.02631579 8779.0 4 0.033333335 736.3333 4 0.03960396 6839.3335 4 0.014285714 
8399.333 5 0.09615385 53078.668 5 0.046728972 111097.0 5 0.032894738 8855.0 5 0.041666668 730.0 5 0.04950495 6983.6665 5 0.017857144 
8289.667 6 0.115384616 52380.668 6 0.056074765 105853.664 6 0.039473683 8564.333 6 0.05 738.0 6 0.05940594 6905.3335 6 0.021428572 
8203.0 7 0.13461539 51851.668 7 0.06542056 111033.336 7 0.04605263 8877.0 7 0.058333334 733.6667 7 0.06930693 6748.3335 7 0.025 
8169.3335 8 0.15384616 50588.332 8 0.07476635 109000.0 8 0.05263158 8776.333 8 0.06666667 717.3333 8 0.07920792 6905.0 8 0.028571429 
8222.0 9 0.17307693 53324.332 9 0.08411215 107437.336 9 0.059210528 8770.0 9 0.075 736.0 9 0.089108914 6848.3335 9 0.03214286 
8130.6665 10 0.1923077 50513.0 10 0.093457945 102313.0 10 0.065789476 8604.667 10 0.083333336 717.6667 10 0.0990099 6843.6665 10 0.035714287 
8298.667 11 0.21153846 51419.332 11 0.10280374 107397.664 11 0.07236842 8639.667 11 0.09166667 723.6667 11 0.10891089 6698.3335 11 0.039285716 
8214.667 12 0.23076923 51390.0 12 0.11214953 105493.336 12 0.078947365 8871.667 12 0.1 742.3333 12 0.11881188 6690.3335 12 0.042857144 
8182.3335 13 0.25 49778.668 13 0.12149533 105502.336 13 0.08552632 8682.333 13 0.108333334 707.0 13 0.12871288 6881.3335 13 0.046428572 
8123.6665 14 0.26923078 52445.668 14 0.13084112 107455.336 14 0.09210526 8641.0 14 0.11666667 719.3333 14 0.13861386 6857.6665 14 0.05 
8298.333 15 0.28846154 49428.0 15 0.14018692 105876.0 15 0.098684214 8392.667 15 0.125 731.0 15 0.14851485 6825.0 15 0.05357143 
8305.667 16 0.30769232 51556.0 16 0.1495327 104392.664 16 0.10526316 8526.333 16 0.13333334 711.3333 16 0.15841584 6818.3335 16 0.057142857 
8204.0 17 0.32692307 52187.332 17 0.1588785 105784.664 17 0.1118421 8227.333 17 0.14166667 734.3333 17 0.16831683 6844.3335 17 0.060714286 
