Bees Iterations Expermient
berlin52 pr107 pr152 gr120 eil101 a280
EFFICIENCY1 ITERATIONS1 EFFICIENCY2 ITERATIONS2 EFFICIENCY3 ITERATIONS3 EFFICIENCY4 ITERATIONS4 EFFICIENCY5 ITERATIONS5 EFFICIENCY6 ITERATIONS6
2.6471892E-4 100 2.6979897E-4 100 1.8269988E-4 100 2.6193928E-4 100 4.8405153E-4 100 7.747812E-5 100 
2.461013E-5 5100 7.580462E-6 5100 4.894971E-6 5100 5.3949375E-6 5100 9.72992E-6 5100 1.6744457E-6 5100 
1.05011795E-5 10100 3.4045506E-6 10100 2.104657E-6 10100 3.1169723E-6 10100 4.0874943E-6 10100 8.794642E-7 10100 
6.067872E-6 15100 2.8408078E-6 15100 1.3758724E-6 15100 2.0927932E-6 15100 2.6720063E-6 15100 5.495826E-7 15100 
4.9337314E-6 20100 1.8042253E-6 20100 1.1258113E-6 20100 1.661456E-6 20100 2.3062028E-6 20100 4.2386134E-7 20100 
4.1562066E-6 25100 1.5603297E-6 25100 9.575866E-7 25100 1.1954851E-6 25100 1.7389779E-6 25100 3.5942034E-7 25100 
3.4391614E-6 30100 1.2460374E-6 30100 7.392088E-7 30100 1.0779945E-6 30100 1.436972E-6 30100 2.805739E-7 30100 
2.7514761E-6 35100 1.0254856E-6 35100 6.64871E-7 35100 9.2292083E-7 35100 1.2873517E-6 35100 2.410128E-7 35100 
2.355741E-6 40100 9.435535E-7 40100 5.1221434E-7 40100 8.0118764E-7 40100 1.0346068E-6 40100 2.078393E-7 40100 
2.3586447E-6 45100 7.63553E-7 45100 4.8055574E-7 45100 6.6564826E-7 45100 9.106774E-7 45100 1.8279972E-7 45100 
2.0342088E-6 50100 7.2036227E-7 50100 4.0874286E-7 50100 6.3903786E-7 50100 8.005882E-7 50100 1.6866784E-7 50100 
