Bees Iterations Expermient
berlin52 pr107 pr152 gr120 eil101 a280
EFFICIENCY1 ITERATIONS1 EFFICIENCY2 ITERATIONS2 EFFICIENCY3 ITERATIONS3 EFFICIENCY4 ITERATIONS4 EFFICIENCY5 ITERATIONS5 EFFICIENCY6 ITERATIONS6
13508.0 100 228054.0 100 577375.0 100 23990.0 100 1898.0 100 23329.0 100 
8271.0 10100 49434.0 10100 78796.0 10100 7624.0 10100 676.0 10100 3430.0 10100 
7789.0 20100 45874.0 20100 78378.0 20100 7710.0 20100 670.0 20100 3078.0 20100 
7989.0 30100 46644.0 30100 79125.0 30100 7533.0 30100 682.0 30100 3063.0 30100 
7972.0 40100 50012.0 40100 82348.0 40100 7442.0 40100 700.0 40100 3000.0 40100 
7855.0 50100 45458.0 50100 78426.0 50100 7488.0 50100 680.0 50100 2938.0 50100 
8430.0 60100 45900.0 60100 78213.0 60100 7545.0 60100 695.0 60100 2917.0 60100 
7864.0 70100 47282.0 70100 77725.0 70100 7337.0 70100 682.0 70100 2863.0 70100 
7682.0 80100 48189.0 80100 81237.0 80100 7387.0 80100 664.0 80100 3030.0 80100 
8112.0 90100 47144.0 90100 78475.0 90100 7423.0 90100 669.0 90100 2854.0 90100 
