Bees Iterations Expermient
berlin52 pr107 pr152 gr120 eil101 a280
EFFICIENCY1 ITERATIONS1 EFFICIENCY2 ITERATIONS2 EFFICIENCY3 ITERATIONS3 EFFICIENCY4 ITERATIONS4 EFFICIENCY5 ITERATIONS5 EFFICIENCY6 ITERATIONS6
21530.666 100 396574.66 100 828867.3 100 39664.332 100 2683.0 100 28588.0 100 
21148.334 600 358803.0 600 690456.0 600 34954.332 600 2409.6667 600 24435.0 600 
19910.0 1100 353131.66 1100 687637.7 1100 33851.668 1100 2219.6667 1100 23920.0 1100 
20699.334 1600 351042.34 1600 674471.3 1600 34738.668 1600 2306.6667 1600 23214.0 1600 
20914.0 2100 358206.0 2100 666091.3 2100 33851.668 2100 2255.0 2100 23418.334 2100 
19209.666 2600 351461.66 2600 666481.0 2600 33263.332 2600 2291.6667 2600 22913.0 2600 
20866.666 3100 339681.66 3100 652552.7 3100 33270.668 3100 2237.6667 3100 22542.334 3100 
20312.666 3600 349430.0 3600 662055.0 3600 33064.0 3600 2249.0 3600 22852.666 3600 
20106.666 4100 349323.0 4100 662208.0 4100 33862.0 4100 2251.0 4100 22793.666 4100 
19862.666 4600 345698.34 4600 658056.7 4600 33606.0 4600 2259.0 4600 22513.0 4600 
20243.0 5100 347149.0 5100 669642.3 5100 33875.0 5100 2208.6667 5100 22463.0 5100 
20171.666 5600 347282.0 5600 662473.3 5600 33027.332 5600 2312.0 5600 22418.334 5600 
20204.334 6100 350118.34 6100 660559.7 6100 33829.332 6100 2268.3333 6100 22141.0 6100 
20028.666 6600 340816.0 6600 660942.7 6600 33115.332 6600 2301.6667 6600 22463.666 6600 
19460.334 7100 348261.34 7100 664288.7 7100 32818.332 7100 2297.0 7100 22177.0 7100 
19067.666 7600 346390.66 7600 654051.3 7600 32434.666 7600 2290.0 7600 21799.0 7600 
20486.334 8100 349237.34 8100 653769.7 8100 33737.332 8100 2265.3333 8100 22009.0 8100 
19759.0 8600 337479.34 8600 654840.7 8600 34311.332 8600 2302.6667 8600 22078.334 8600 
20743.666 9100 341069.0 9100 654900.0 9100 33903.668 9100 2279.3333 9100 22225.0 9100 
20086.0 9600 338575.0 9600 663854.7 9600 33885.668 9600 2271.3333 9600 21945.334 9600 
19701.0 10100 342144.34 10100 653606.7 10100 32598.666 10100 2271.0 10100 22084.334 10100 
