Bees Number Expermient
berlin52 pr107 pr152 gr120 eil101 a280
EFFICIENCY1 BEES1 BEES1% EFFICIENCY2 BEES2 BEES2% EFFICIENCY3 BEES3 BEES3% EFFICIENCY4 BEES4 BEES4% EFFICIENCY5 BEES5 BEES5% EFFICIENCY6 BEES6 BEES6%
7.013021E-5 1 0 4.9488062E-5 1 0 2.690869E-5 1 0 4.6217425E-5 1 0 3.0762658E-5 1 0 1.9246414E-5 1 0 
2.1120932E-5 11 0 1.5765265E-5 11 0 1.2607684E-5 11 0 1.3289339E-5 11 0 1.6928623E-5 11 0 6.9716925E-6 11 0 
1.7204484E-5 21 0 1.3762848E-5 21 0 1.0164261E-5 21 0 1.1788345E-5 21 0 1.5230765E-5 21 0 4.5194065E-6 21 0 
9.227139E-6 31 0 6.0732773E-6 31 0 4.439555E-6 31 0 6.0026628E-6 31 0 7.3850274E-6 31 0 3.9594324E-6 31 0 
9.1084485E-6 41 0 7.2389703E-6 41 0 5.450553E-6 41 0 7.65539E-6 41 0 5.8071178E-6 41 0 2.3925006E-6 41 0 
9.2608925E-6 51 0 5.5572164E-6 51 0 3.9881015E-6 51 0 5.029496E-6 51 0 9.308622E-6 51 0 2.162601E-6 51 0 
8.275573E-6 61 1 5.671169E-6 61 0 3.7853301E-6 61 0 4.3641217E-6 61 0 5.1061697E-6 61 0 1.9972988E-6 61 0 
7.4157583E-6 71 1 4.4322046E-6 71 0 3.388945E-6 71 0 4.223148E-6 71 0 4.9523446E-6 71 0 1.7888137E-6 71 0 
6.80645E-6 81 1 4.062291E-6 81 0 2.8182103E-6 81 0 3.934205E-6 81 0 4.5374354E-6 81 0 1.6375478E-6 81 0 
5.7436537E-6 91 1 3.5695948E-6 91 0 2.7579747E-6 91 0 3.4833633E-6 91 0 4.638314E-6 91 0 1.5533775E-6 91 0 
5.463043E-6 101 1 3.4136804E-6 101 0 2.4722176E-6 101 0 3.4314533E-6 101 0 3.76182E-6 101 1 1.4299733E-6 101 0 
5.583645E-6 111 2 3.3151412E-6 111 1 2.5085121E-6 111 0 2.9825962E-6 111 0 3.844026E-6 111 1 1.4167749E-6 111 0 
5.0739627E-6 121 2 3.056679E-6 121 1 2.3349128E-6 121 0 2.9815062E-6 121 1 3.3962485E-6 121 1 1.3454683E-6 121 0 
5.104074E-6 131 2 2.9259018E-6 131 1 2.309788E-6 131 0 2.866567E-6 131 1 3.3268723E-6 131 1 1.3261653E-6 131 0 
4.7457097E-6 141 2 2.7504439E-6 141 1 2.0747134E-6 141 0 2.6614352E-6 141 1 3.2807066E-6 141 1 1.2072603E-6 141 0 
4.4251788E-6 151 2 2.8952004E-6 151 1 1.965676E-6 151 0 2.699482E-6 151 1 3.0940582E-6 151 1 1.203211E-6 151 0 
3.94452E-6 161 3 2.7304388E-6 161 1 1.9300992E-6 161 1 2.5171453E-6 161 1 2.9045161E-6 161 1 1.1390347E-6 161 0 
3.89033E-6 171 3 2.383514E-6 171 1 1.8241609E-6 171 1 2.4942126E-6 171 1 2.8007848E-6 171 1 1.0571648E-6 171 0 
3.6333176E-6 181 3 2.2804918E-6 181 1 1.7711616E-6 181 1 2.2289053E-6 181 1 2.5796398E-6 181 1 1.0313197E-6 181 0 
3.4940065E-6 191 3 2.2406873E-6 191 1 1.6510238E-6 191 1 2.2015379E-6 191 1 2.4993317E-6 191 1 9.874178E-7 191 0 
3.4438092E-6 201 3 2.0495354E-6 201 1 1.6677941E-6 201 1 2.2303655E-6 201 1 2.343229E-6 201 1 9.432524E-7 201 0 
3.225784E-6 211 4 2.0945436E-6 211 1 1.4763561E-6 211 1 1.9446036E-6 211 1 2.521732E-6 211 2 9.3144087E-7 211 0 
3.1086902E-6 221 4 1.9917968E-6 221 2 1.5866764E-6 221 1 1.854171E-6 221 1 2.1215217E-6 221 2 8.431679E-7 221 0 
2.9249586E-6 231 4 1.9574113E-6 231 2 1.4309123E-6 231 1 1.8369498E-6 231 1 2.1064902E-6 231 2 8.338304E-7 231 0 
2.8623283E-6 241 4 1.7602471E-6 241 2 1.3591122E-6 241 1 1.7236191E-6 241 2 2.0002522E-6 241 2 8.5248706E-7 241 0 
2.878646E-6 251 4 1.8534994E-6 251 2 1.3495247E-6 251 1 1.6484387E-6 251 2 1.9428448E-6 251 2 9.334659E-7 251 0 
2.851778E-6 261 5 1.7889913E-6 261 2 1.3034318E-6 261 1 1.663474E-6 261 2 1.9342817E-6 261 2 8.166708E-7 261 0 
2.5840966E-6 271 5 1.6754584E-6 271 2 1.4142857E-6 271 1 1.7710025E-6 271 2 1.8082782E-6 271 2 8.513882E-7 271 0 
2.674561E-6 281 5 1.698296E-6 281 2 1.3425517E-6 281 1 1.6610121E-6 281 2 1.828567E-6 281 2 8.364937E-7 281 1 
2.5170195E-6 291 5 1.6927286E-6 291 2 1.2893072E-6 291 1 1.5980103E-6 291 2 1.8601851E-6 291 2 7.954525E-7 291 1 
2.2880427E-6 301 5 1.5962133E-6 301 2 1.2956554E-6 301 1 1.4663972E-6 301 2 1.7081157E-6 301 2 8.002207E-7 301 1 
2.3915306E-6 311 5 1.6051528E-6 311 2 1.2425896E-6 311 2 1.5601182E-6 311 2 1.8233983E-6 311 3 8.273959E-7 311 1 
2.2344486E-6 321 6 1.5507918E-6 321 3 1.158118E-6 321 2 1.470169E-6 321 2 1.6955454E-6 321 3 7.2878163E-7 321 1 
2.135202E-6 331 6 1.4317968E-6 331 3 1.2264777E-6 331 2 1.3726806E-6 331 2 1.5431217E-6 331 3 8.15357E-7 331 1 
2.11188E-6 341 6 1.4554491E-6 341 3 1.1182626E-6 341 2 1.5533162E-6 341 2 1.5639266E-6 341 3 7.953961E-7 341 1 
2.1381265E-6 351 6 1.3905676E-6 351 3 1.1449162E-6 351 2 1.3514593E-6 351 2 1.6457641E-6 351 3 7.454042E-7 351 1 
2.0334876E-6 361 6 1.3255371E-6 361 3 1.1183153E-6 361 2 1.4740889E-6 361 3 1.5193099E-6 361 3 7.616412E-7 361 1 
1.9335357E-6 371 7 1.3215532E-6 371 3 1.0635002E-6 371 2 1.1773724E-6 371 3 1.3689569E-6 371 3 7.4181713E-7 371 1 
1.9140555E-6 381 7 1.4513191E-6 381 3 1.0739207E-6 381 2 1.3103398E-6 381 3 1.6341568E-6 381 3 7.5888E-7 381 1 
1.9544314E-6 391 7 1.2842856E-6 391 3 9.512838E-7 391 2 1.3528775E-6 391 3 1.5701634E-6 391 3 7.4590696E-7 391 1 
1.8590695E-6 401 7 1.3249759E-6 401 3 1.0228358E-6 401 2 1.4431146E-6 401 3 1.3495726E-6 401 3 7.384718E-7 401 1 
1.9033113E-6 411 7 1.5399783E-6 411 3 1.0734393E-6 411 2 1.4257023E-6 411 3 1.2889121E-6 411 4 7.304235E-7 411 1 
1.8220053E-6 421 8 1.4348509E-6 421 3 1.123262E-6 421 2 1.2893579E-6 421 3 1.5475399E-6 421 4 7.107872E-7 421 1 
1.7487092E-6 431 8 1.3767274E-6 431 4 1.1383055E-6 431 2 1.3890954E-6 431 3 1.55077E-6 431 4 7.018738E-7 431 1 
1.6448782E-6 441 8 1.204709E-6 441 4 1.1530861E-6 441 2 1.3768539E-6 441 3 1.542508E-6 441 4 6.91637E-7 441 1 
1.6292889E-6 451 8 1.2468724E-6 451 4 9.979914E-7 451 2 1.2152898E-6 451 3 1.190883E-6 451 4 6.5345216E-7 451 1 
1.5970446E-6 461 8 1.3610351E-6 461 4 1.0830181E-6 461 3 1.3282308E-6 461 3 1.2801403E-6 461 4 6.381059E-7 461 1 
1.5569082E-6 471 9 1.3013416E-6 471 4 1.0731991E-6 471 3 1.3101591E-6 471 3 1.496535E-6 471 4 6.4809296E-7 471 1 
1.5171865E-6 481 9 1.224717E-6 481 4 9.758527E-7 481 3 1.2557891E-6 481 4 1.3997361E-6 481 4 6.227211E-7 481 1 
1.5454466E-6 491 9 1.2850602E-6 491 4 1.0075827E-6 491 3 1.2474611E-6 491 4 1.4074559E-6 491 4 6.182606E-7 491 1 
1.6176411E-6 501 9 1.218885E-6 501 4 9.800701E-7 501 3 1.2105862E-6 501 4 1.3801368E-6 501 4 5.950906E-7 501 1 
