TABUSEARCH AGELIMIT EXP
ageLimit objectiveValue
30 0.074254476 
80 0.07801495 
130 0.05753671 
180 0.060074333 
230 0.07592874 
280 0.06831196 
330 0.08325927 
380 0.06860212 
430 0.060040224 
480 0.06797924 
530 0.063614786 
580 0.071879 
630 0.06673255 
680 0.059909124 
730 0.07300312 
780 0.06915759 
830 0.06623275 
880 0.06079505 
930 0.06952754 
980 0.073652245 
1030 0.06797141 
1080 0.060665186 
1130 0.07248906 
1180 0.07247105 
1230 0.07329578 
1280 0.07329696 
1330 0.06046267 
1380 0.07491708 
1430 0.062212586 
1480 0.05779529 
