BASIC TABUSEARCH COMP
ITERATIONS age30 age60 age90
100 0.06872537 0.06419014 0.058323145 
300 0.0639726 0.075005 0.06600963 
500 0.06818079 0.07328858 0.06159011 
700 0.06266913 0.07062136 0.06510065 
900 0.06234199 0.07340392 0.062032208 
1100 0.06823415 0.06917686 0.071405165 
1300 0.062061403 0.07045228 0.057128 
1500 0.065755434 0.07462528 0.06931482 
1700 0.06535087 0.062565826 0.05652976 
1900 0.0762509 0.054801267 0.057701826 
2100 0.06274536 0.06468863 0.06345762 
2300 0.05800104 0.060579453 0.05973488 
2500 0.07846904 0.07438096 0.073898725 
