TABU SEARCH TIME COMPLEXITY
size tabu 2opt closestNeigh
50 2488529 109276 1504 
75 6110894 477482 3028 
100 11843309 1450947 4913 
125 20283931 3427995 5105 
150 34798087 8056701 1906 
175 55977677 14692674 2173 
200 79358233 25363273 1056 
225 111805737 43239187 1237 
250 155914805 64868274 1481 
275 211533419 103179439 2655 
300 304474555 147522220 1991 
325 344770965 208382036 2332 
350 460649693 312237121 3371 
375 635818475 385888986 3719 
400 741304177 522794333 2985 
425 925216706 701101374 3376 
450 1017399412 858060046 3907 
475 1285808880 1136965431 4769 
500 1507231585 1224323634 4316 
