Bees Treshold Expermient
berlin52 pr107 pr152 gr120 eil101 a280
OBJECTIVE1 THRESHOLD1 THRESHOLD1% OBJECTIVE2 THRESHOLD2 THRESHOLD2% OBJECTIVE3 THRESHOLD3 THRESHOLD3% OBJECTIVE4 THRESHOLD4 THRESHOLD4% OBJECTIVE5 THRESHOLD5 THRESHOLD5% OBJECTIVE6 THRESHOLD6 THRESHOLD6%
24769.0 1 0.01923077 475982.34 1 0.009345794 914619.3 1 0.0065789474 44532.0 1 0.008333334 2965.0 1 0.00990099 30519.666 1 0.0035714286 
23319.0 2 0.03846154 455369.66 2 0.018691588 897628.3 2 0.013157895 34034.668 2 0.016666668 2832.6667 2 0.01980198 30074.666 2 0.007142857 
20338.666 3 0.057692308 349393.66 3 0.028037382 657645.3 3 0.019736841 33913.668 3 0.025 2327.6667 3 0.02970297 23237.666 3 0.010714286 
19757.0 4 0.07692308 343693.0 4 0.037383176 657631.7 4 0.02631579 33706.332 4 0.033333335 2285.3333 4 0.03960396 23135.0 4 0.014285714 
20238.334 5 0.09615385 351378.66 5 0.046728972 650720.0 5 0.032894738 33940.668 5 0.041666668 2287.6667 5 0.04950495 23220.666 5 0.017857144 
19030.666 6 0.115384616 347040.34 6 0.056074765 669915.3 6 0.039473683 33305.668 6 0.05 2331.6667 6 0.05940594 23462.0 6 0.021428572 
20793.666 7 0.13461539 345200.0 7 0.06542056 663800.3 7 0.04605263 34147.332 7 0.058333334 2228.6667 7 0.06930693 23349.0 7 0.025 
20279.334 8 0.15384616 341781.66 8 0.07476635 682349.3 8 0.05263158 34410.332 8 0.06666667 2262.3333 8 0.07920792 22930.334 8 0.028571429 
20515.666 9 0.17307693 342672.66 9 0.08411215 668121.3 9 0.059210528 34094.0 9 0.075 2307.3333 9 0.089108914 23223.334 9 0.03214286 
20554.334 10 0.1923077 352567.66 10 0.093457945 674267.0 10 0.065789476 33454.0 10 0.083333336 2299.3333 10 0.0990099 23316.666 10 0.035714287 
19768.666 11 0.21153846 347341.0 11 0.10280374 683663.3 11 0.07236842 34281.668 11 0.09166667 2224.3333 11 0.10891089 23203.666 11 0.039285716 
19950.0 12 0.23076923 357881.66 12 0.11214953 671562.3 12 0.078947365 33204.668 12 0.1 2304.3333 12 0.11881188 23038.0 12 0.042857144 
20679.334 13 0.25 361235.66 13 0.12149533 663275.7 13 0.08552632 34103.668 13 0.108333334 2255.6667 13 0.12871288 23482.334 13 0.046428572 
20398.666 14 0.26923078 338385.66 14 0.13084112 658891.3 14 0.09210526 34113.332 14 0.11666667 2268.0 14 0.13861386 23134.666 14 0.05 
20053.666 15 0.28846154 350852.0 15 0.14018692 657514.7 15 0.098684214 34346.332 15 0.125 2297.0 15 0.14851485 23083.334 15 0.05357143 
19963.334 16 0.30769232 340650.0 16 0.1495327 668278.3 16 0.10526316 33110.332 16 0.13333334 2311.6667 16 0.15841584 23313.334 16 0.057142857 
20048.666 17 0.32692307 357253.0 17 0.1588785 659502.7 17 0.1118421 33657.668 17 0.14166667 2233.3333 17 0.16831683 23282.666 17 0.060714286 
20375.334 18 0.34615386 348205.0 18 0.1682243 648295.0 18 0.118421055 34517.0 18 0.15 2271.0 18 0.17821783 23147.0 18 0.06428572 
19909.334 19 0.3653846 343761.34 19 0.17757009 660110.0 19 0.125 33684.668 19 0.15833333 2285.3333 19 0.18811882 23075.0 19 0.067857146 
19753.334 20 0.3846154 341002.34 20 0.18691589 655667.7 20 0.13157895 34403.668 20 0.16666667 2211.0 20 0.1980198 23311.0 20 0.071428575 
