TimeComplexity
size KRandom ClosestNeigh EnchancedNeigh Opt2
10 44 0 8 11 
35 72 5 162 792 
60 155 15 752 7550 
85 215 24 1962 36103 
110 255 35 3919 74158 
135 306 49 6515 169264 
160 364 62 9895 306558 
185 484 80 15217 582694 
210 510 97 20895 827701 
235 588 119 27888 1341445 
260 644 140 37062 1980187 
285 711 172 48581 3051861 
310 758 194 63002 4584859 
335 1187 329 101995 8643016 
360 1577 440 163722 17464265 
385 1546 478 186888 21649182 
410 1724 601 250862 23868448 
435 1569 519 275983 27825592 
460 1747 634 302658 36325761 
485 2520 947 390442 48166029 
