TimeComplexity
size KRandom ClosestNeigh EnchancedNeigh Opt2
10 2031 16 121 341 
36 259 23 796 4229 
62 234 18 818 27010 
88 278 26 1968 87627 
114 312 36 4282 248036 
140 621 166 10847 699455 
166 463 70 11943 1249826 
192 569 90 17833 2199298 
218 590 110 24574 3616979 
244 652 135 33868 6093251 
270 714 169 44829 9176474 
296 800 199 60702 13959009 
322 782 219 78138 21291982 
348 895 287 96659 30361262 
374 904 297 110595 38873989 
400 1136 342 141315 50508497 
426 1882 557 208501 87203723 
452 1726 430 209891 94724076 
478 1269 467 220153 119381610 
